antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Oven Kayu'}),"frozenset({'Mesin Las Listrik', 'Penggilingan Batubara', 'Oven Bricket'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Bricket'}),"frozenset({'Mesin Las Listrik', 'Penggilingan Batubara', 'Oven Kayu'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Bricket'}),frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),frozenset({'Oven Bricket'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Kayu'}),frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),frozenset({'Oven Kayu'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Mesin Las Listrik'}),frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),frozenset({'Mesin Las Listrik'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Penggilingan Batubara'}),frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),frozenset({'Penggilingan Batubara'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Bricket', 'Oven Kayu'})",frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Bricket', 'Blower Lemari Asam'})",frozenset({'Oven Kayu'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Kayu', 'Blower Lemari Asam'})",frozenset({'Oven Bricket'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Bricket'}),"frozenset({'Oven Kayu', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Kayu'}),"frozenset({'Oven Bricket', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),"frozenset({'Oven Bricket', 'Oven Kayu'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Mesin Las Listrik', 'Oven Bricket'})",frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Mesin Las Listrik', 'Blower Lemari Asam'})",frozenset({'Oven Bricket'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Bricket', 'Blower Lemari Asam'})",frozenset({'Mesin Las Listrik'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Mesin Las Listrik'}),"frozenset({'Oven Bricket', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Bricket'}),"frozenset({'Mesin Las Listrik', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),"frozenset({'Mesin Las Listrik', 'Oven Bricket'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Penggilingan Batubara', 'Blower Lemari Asam'})",frozenset({'Oven Bricket'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Penggilingan Batubara', 'Oven Bricket'})",frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Bricket', 'Blower Lemari Asam'})",frozenset({'Penggilingan Batubara'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Penggilingan Batubara'}),"frozenset({'Oven Bricket', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),"frozenset({'Penggilingan Batubara', 'Oven Bricket'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Bricket'}),"frozenset({'Penggilingan Batubara', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Mesin Las Listrik', 'Oven Kayu'})",frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Mesin Las Listrik', 'Blower Lemari Asam'})",frozenset({'Oven Kayu'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Kayu', 'Blower Lemari Asam'})",frozenset({'Mesin Las Listrik'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Mesin Las Listrik'}),"frozenset({'Oven Kayu', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Kayu'}),"frozenset({'Mesin Las Listrik', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),"frozenset({'Mesin Las Listrik', 'Oven Kayu'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Penggilingan Batubara', 'Oven Kayu'})",frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Penggilingan Batubara', 'Blower Lemari Asam'})",frozenset({'Oven Kayu'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Oven Kayu', 'Blower Lemari Asam'})",frozenset({'Penggilingan Batubara'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Penggilingan Batubara'}),"frozenset({'Oven Kayu', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Oven Kayu'}),"frozenset({'Penggilingan Batubara', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Blower Lemari Asam'}),"frozenset({'Penggilingan Batubara', 'Oven Kayu'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Mesin Las Listrik', 'Penggilingan Batubara'})",frozenset({'Blower Lemari Asam'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Mesin Las Listrik', 'Blower Lemari Asam'})",frozenset({'Penggilingan Batubara'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Penggilingan Batubara', 'Blower Lemari Asam'})",frozenset({'Mesin Las Listrik'}),0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Mesin Las Listrik'}),"frozenset({'Penggilingan Batubara', 'Blower Lemari Asam'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
